rank,primary_isbn13,publisher,description,price,title,author,age_group,list,date,month_on_list
1,9780553901139,Random House,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,0.0,ALONE,Lisa Gardner,,combined-print-and-e-book-fiction,2011-03-01,1.0
2,9780316129183,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,0.0,TICK TOCK,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2011-03-01,2.0
3,9780307272119,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,0.0,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,8.0
4,9781565125858,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-03-01,5.0
5,9780307272300,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",0.0,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,7.0
6,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,9.0
7,9781101475690,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,0.0,A DISCOVERY OF WITCHES,Deborah Harkness,,combined-print-and-e-book-fiction,2011-03-01,4.0
8,9781439177013,Simon & Schuster,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity.",0.0,DREAMS OF A DARK WARRIOR,Kresley Cole,,combined-print-and-e-book-fiction,2011-03-01,1.0
9,9780307271341,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",0.0,CUTTING FOR STONE,Abraham Verghese,,combined-print-and-e-book-fiction,2011-03-01,1.0
10,9781440697661,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-03-01,10.0
11,9780385534130,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",0.0,THE CONFESSION,John Grisham,,combined-print-and-e-book-fiction,2011-03-01,2.0
12,9780979190919,Penwyck,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.,0.0,HER LAST LETTER,Nancy C Johnson,,combined-print-and-e-book-fiction,2011-03-01,1.0
13,9781101476543,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,0.0,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,,combined-print-and-e-book-fiction,2011-03-01,1.0
14,9780316129114,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,0.0,ROOM,Emma Donoghue,,combined-print-and-e-book-fiction,2011-03-01,1.0
15,9780345512505,Random House,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.,0.0,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,,combined-print-and-e-book-fiction,2011-03-01,1.0
16,9781426884269,Harlequin,"A woman struggles for years to choose between two men, one honorable and steady, one wild and untethered. And then, one fateful day, the decision is made for her.",0.0,MARRYING DAISY BELLAMY,Susan Wiggs,,combined-print-and-e-book-fiction,2011-03-01,1.0
17,9781400079148,Knopf Doubleday,The Harvard symbologist Robert Langdon among the Masons.,0.0,THE LOST SYMBOL,Dan Brown,,combined-print-and-e-book-fiction,2011-03-01,1.0
18,9780425238691,Penguin Group,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow.",0.0,THE POSTMISTRESS,Sarah Blake,,combined-print-and-e-book-fiction,2011-03-01,1.0
19,9781416589648,Simon & Schuster,The lives of two women collide: a Nigerian refugee and an English magazine editor to whose home the refugee escapes after fleeing an immigration detention center.,0.0,LITTLE BEE,Chris Cleave,,combined-print-and-e-book-fiction,2011-03-01,1.0
20,9781429994262,St. Martin’s,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.,0.0,A HEARTBEAT AWAY,Michael Palmer,,combined-print-and-e-book-fiction,2011-03-01,1.0
1,9781616200817,Algonquin,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-04-01,3.0
2,9780316097369,"Little, Brown","Hays Baker, a top operative for the Agency of Change and a national hero, suddenly finds himself a hunted fugitive who must fight to save humans from extinction.",0.0,TOYS,James Patterson and Neil McMahon,,combined-print-and-e-book-fiction,2011-04-01,3.0
3,9780759514713,"Little, Brown","Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime.",0.0,THE LINCOLN LAWYER,Michael Connelly,,combined-print-and-e-book-fiction,2011-04-01,4.0
4,9781439102725,Simon & Schuster,Picoult takes on the issue of gay rights in this novel about a music therapist who desperately wants a child.,0.0,SING YOU HOME,Jodi Picoult,,combined-print-and-e-book-fiction,2011-04-01,3.0
5,9780553908114,Random House,"Detective D. D. Warren must solve the case of a dead husband, a battered wife and a missing child.",0.0,LOVE YOU MORE,Lisa Gardner,,combined-print-and-e-book-fiction,2011-04-01,1.0
6,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-04-01,9.0
7,9780399157042,Penguin Group,Juan Cabrillo and the crew of the Oregon undertake rescue operations from Afghanistan to Myanmar.,0.0,THE JUNGLE,Clive Cussler with Jack Du Brul,,combined-print-and-e-book-fiction,2011-04-01,2.0
8,9780307272119,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier.,0.0,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,,combined-print-and-e-book-fiction,2011-04-01,8.0
9,9780307272300,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",0.0,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,,combined-print-and-e-book-fiction,2011-04-01,7.0
10,9780375714368,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",0.0,CUTTING FOR STONE,Abraham Verghese,,combined-print-and-e-book-fiction,2011-04-01,4.0
11,9780316129183,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,0.0,TICK TOCK,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2011-04-01,2.0
12,9781101475690,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,0.0,A DISCOVERY OF WITCHES,Deborah Harkness,,combined-print-and-e-book-fiction,2011-04-01,4.0
13,9780345521323,Random House,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris.",0.0,THE PARIS WIFE,Paula McLain,,combined-print-and-e-book-fiction,2011-04-01,3.0
14,9781440697661,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-04-01,10.0
15,9780385343831,Random House,"In an unnamed Balkan country, a young doctor investigates her beloved grandfather’s death.",0.0,THE TIGER’S WIFE,Tea Obreht,,combined-print-and-e-book-fiction,2011-04-01,2.0
16,9780307595164,Knopf Doubleday,"With the help of a devoted network of friends and family, a Dubliner reluctantly agrees to take care of a baby daughter he can’t recall siring.",0.0,MINDING FRANKIE,Maeve Binchy,,combined-print-and-e-book-fiction,2011-04-01,1.0
17,9780756404734,Penguin Group,"In this sequel to “The Name of the Wind,” the magician Kvothe searches for the truth about the mysterious Amyr and the death of his parents.",0.0,THE WISE MAN'S FEAR,Patrick Rothfuss,,combined-print-and-e-book-fiction,2011-04-01,2.0
18,9781426887635,Harlequin,"A reissue of two 1993 books, “Groom Wanted” and “Bride Wanted.”",0.0,AN ENGAGEMENT IN SEATTLE,Debbie Macomber,,combined-print-and-e-book-fiction,2011-04-01,1.0
19,9780385534130,Knopf Doubleday,"A man who committed a despicable crime but allowed another to be sent to death row in his place now wants to admit his guilt, but must convince the authorities he's telling the truth.",0.0,THE CONFESSION,John Grisham,,combined-print-and-e-book-fiction,2011-04-01,2.0
20,9781101475867,Penguin Group,"Detective Eve Dallas and her partner, Peabody, investigate a grocer’s murder; by Nora Roberts, writing pseudonymously.",0.0,TREACHERY IN DEATH,J D Robb,,combined-print-and-e-book-fiction,2011-04-01,1.0
1,9781616200817,Algonquin,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-05-01,3.0
2,9781101513781,Penguin Group,A smoke jumper faces a new season of firefighting in Montana after the loss of her partner.,0.0,CHASING FIRE,Nora Roberts,,combined-print-and-e-book-fiction,2011-05-01,1.0
3,9780759514713,"Little, Brown","Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime.",0.0,THE LINCOLN LAWYER,Michael Connelly,,combined-print-and-e-book-fiction,2011-05-01,4.0
4,9780316069380,"Little, Brown",The defense lawyer Mickey Haller represents a woman facing home foreclosure who is accused of killing a banker.,0.0,THE FIFTH WITNESS,Michael Connelly,,combined-print-and-e-book-fiction,2011-05-01,2.0
5,9780425232200,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-05-01,4.0
6,9781429904605,St. Martin's,"A maid of honor to her charmed friend, Rachel White has always played by the rules. But that changes on her 30th birthday.",0.0,SOMETHING BORROWED,Emily Giffin,,combined-print-and-e-book-fiction,2011-05-01,3.0
7,9781439186794,Simon & Schuster,A woman haunted by the disappearance of her young son discovers that someone has stolen her identity.,0.0,I’LL WALK ALONE,Mary Higgins Clark,,combined-print-and-e-book-fiction,2011-05-01,1.0
8,9780517580516,Crown,"The latest volume in a series that began with “The Clan of the Cave Bear,” set during the ice age.",0.0,THE LAND OF PAINTED CAVES,Jean M Auel,,combined-print-and-e-book-fiction,2011-05-01,3.0
9,9780553897845,Random House,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2011-05-01,22.0
10,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-05-01,9.0
11,9780515149487,Penguin Group,A canine search-and-rescue trainer has found peace after losing her fiancé to a serial killer. But her life is shaken by a new man and a copycat murderer.,0.0,THE SEARCH,Nora Roberts,,combined-print-and-e-book-fiction,2011-05-01,1.0
12,9780385343145,Random House,The owner of a Greenwich Village town house takes in boarders and bonds with her tenants.,0.0,44 CHARLES STREET,Danielle Steel,,combined-print-and-e-book-fiction,2011-05-01,2.0
13,9780345521323,Random House,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris.",0.0,THE PARIS WIFE,Paula McLain,,combined-print-and-e-book-fiction,2011-05-01,3.0
14,9781429959797,St. Martin's,A mother’s action during a school emergency causes an uproar in a Philadelphia suburb.,0.0,SAVE ME,Lisa Scottoline,,combined-print-and-e-book-fiction,2011-05-01,1.0
15,9780375714368,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",0.0,CUTTING FOR STONE,Abraham Verghese,,combined-print-and-e-book-fiction,2011-05-01,4.0
16,9780345524386,Random House,The Los Angeles psychologist-detective Alex Delaware and the detective Milo Sturgis work on a homicide case involving an enigmatic woman.,0.0,MYSTERY,Jonathan Kellerman,,combined-print-and-e-book-fiction,2011-05-01,1.0
17,9780307272119,Knopf Doubleday,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.,0.0,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,,combined-print-and-e-book-fiction,2011-05-01,8.0
18,9780307272300,Knopf Doubleday,"In the second volume of the Millennium trilogy, the Swedish hacker Lisbeth Salander becomes a murder suspect.",0.0,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,,combined-print-and-e-book-fiction,2011-05-01,7.0
19,9780446565509,Grand Central,Detective Lindsay Boxer and the Women’s Murder Club pursue a killer who’s preying on women and children.,0.0,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,,combined-print-and-e-book-fiction,2011-05-01,1.0
20,9781101476161,Penguin Group,Myron Bolitar’s search for a missing rock star leads to questions about his own missing brother.,0.0,LIVE WIRE,Harlan Coben,,combined-print-and-e-book-fiction,2011-05-01,1.0
1,9781616200817,Algonquin,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-06-01,3.0
2,9780425232200,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-06-01,4.0
3,9780316126946,"Little, Brown",Detective Lindsay Boxer and the Women’s Murder Club race to find a missing baby.,0.0,10TH ANNIVERSARY,James Patterson and Maxine Paetro,,combined-print-and-e-book-fiction,2011-06-01,2.0
4,9781429904605,St. Martin's,"A maid of honor to her charmed friend, Rachel White has always played by the rules. But that changes on her 30th birthday.",0.0,SOMETHING BORROWED,Emily Giffin,,combined-print-and-e-book-fiction,2011-06-01,3.0
5,9781101514382,Penguin Group,The telepathic waitress Sookie Stackhouse seeks the culprit in a firebombing.,0.0,DEAD RECKONING,Charlaine Harris,,combined-print-and-e-book-fiction,2011-06-01,1.0
6,9781101515037,Penguin Group,The Minneapolis detective Lucas Davenport investigates the murders of two girls who were kidnapped in 1985 and whose bodies have just been found.,0.0,BURIED PREY,John Sandford,,combined-print-and-e-book-fiction,2011-06-01,2.0
7,9780345530165,Random House,The former government operative Cotton Malone foils an assassination attempt on the president and finds himself at dangerous odds with a secret society.,0.0,THE JEFFERSON KEY,Steve Berry,,combined-print-and-e-book-fiction,2011-06-01,1.0
8,9780446573078,Grand Central,"The lawyer for an alleged serial killer is murdered, and two former Secret Service agents are on the case.",0.0,THE SIXTH MAN,David Baldacci,,combined-print-and-e-book-fiction,2011-06-01,1.0
9,9780553897845,Random House,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2011-06-01,22.0
10,9781429904629,St. Martin’s,"After being betrayed by her fiancé and her best friend, Darcy Rhone flees to London.",0.0,SOMETHING BLUE,Emily Giffin,,combined-print-and-e-book-fiction,2011-06-01,1.0
11,9780759514713,"Little, Brown","Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime.",0.0,THE LINCOLN LAWYER,Michael Connelly,,combined-print-and-e-book-fiction,2011-06-01,4.0
12,9780316069380,"Little, Brown",The defense lawyer Mickey Haller represents a woman facing home foreclosure who is accused of killing a banker.,0.0,THE FIFTH WITNESS,Michael Connelly,,combined-print-and-e-book-fiction,2011-06-01,2.0
13,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-06-01,9.0
14,9780345521323,Random House,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris.",0.0,THE PARIS WIFE,Paula McLain,,combined-print-and-e-book-fiction,2011-06-01,3.0
15,9780307599575,Knopf Doubleday,The Oslo detective Harry Hole searches for a serial killer who builds snowmen outside the homes of his victims.,0.0,THE SNOWMAN,Jo Nesbo,,combined-print-and-e-book-fiction,2011-06-01,2.0
16,9780553897852,Random House,"The second book in the Song of Ice and Fire series. Read by Roy Dotrice. 37 hours, 12 minutes unabridged.",0.0,A CLASH OF KINGS,George RR Martin,,combined-print-and-e-book-fiction,2011-06-01,4.0
17,9781459201521,Harlequin,"Three women of Blossom Street in Seattle — Bethanne, her daughter and her former mother-in-law — take a life-changing road trip to Florida.",0.0,A TURN IN THE ROAD,Debbie Macomber,,combined-print-and-e-book-fiction,2011-06-01,1.0
18,9780375714368,Knopf Doubleday,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia.",0.0,CUTTING FOR STONE,Abraham Verghese,,combined-print-and-e-book-fiction,2011-06-01,4.0
19,9780316098328,"Little, Brown",The  world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held. The basis of the movie.,0.0,ROOM,Emma Donoghue,,combined-print-and-e-book-fiction,2011-06-01,5.0
20,9781101514665,Penguin Group,"On location in Boston, a bad-boy movie star is accused of rape and murder. The case seems fishy from the start, so the police call on the P.I. Spenser.",0.0,SIXKILL,Robert B Parker,,combined-print-and-e-book-fiction,2011-06-01,1.0
1,9780425232200,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-07-01,4.0
2,9780399157301,Penguin Group,Maxwell Moore pursues the terrorists who killed his C.I.A. colleagues in a bomb attack in Pakistan.,0.0,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,,combined-print-and-e-book-fiction,2011-07-01,3.0
3,9781565125858,Algonquin,"After his parents are killed in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-07-01,5.0
4,9780446583145,Grand Central,"As Christmas nears, a terminally ill man is preparing his family for his death when another tragedy strikes.",0.0,ONE SUMMER,David Baldacci,,combined-print-and-e-book-fiction,2011-07-01,4.0
5,9780553897845,Random House,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2011-07-01,22.0
6,9780062049803,HarperCollins,"In the Amazon basin, a medical researcher searches for her former mentor, a despotic scientist who is developing a miracle fertility drug.",0.0,STATE OF WONDER,Ann Patchett,,combined-print-and-e-book-fiction,2011-07-01,5.0
7,9781451621679,Simon & Schuster,"A young James Bond, on a global mission for a unit of British security, must foil a plot to kill thousands of citizens.",0.0,CARTE BLANCHE,Jeffery Deaver,,combined-print-and-e-book-fiction,2011-07-01,1.0
8,9780316126946,"Little, Brown",Detective Lindsay Boxer and the Women’s Murder Club race to find a missing baby.,0.0,10TH ANNIVERSARY,James Patterson and Maxine Paetro,,combined-print-and-e-book-fiction,2011-07-01,2.0
9,9781101515037,Penguin Group,The Minneapolis detective Lucas Davenport investigates the murders of two girls who were kidnapped in 1985.,0.0,BURIED PREY,John Sandford,,combined-print-and-e-book-fiction,2011-07-01,2.0
10,9780061961274,HarperCollins,A widow returns to her childhood home in South Carolina and finds love and a literary puzzle.,0.0,FOLLY BEACH,Dorothea Benton Frank,,combined-print-and-e-book-fiction,2011-07-01,2.0
11,9780062060570,HarperCollins,"After a mysterious accident, an amnesiac cannot remember her past or form new memories.",0.0,BEFORE I GO TO SLEEP,S J Watson,,combined-print-and-e-book-fiction,2011-07-01,1.0
12,9780307454546,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,0.0,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,,combined-print-and-e-book-fiction,2011-07-01,1.0
13,9780553897852,Random House,"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land; Book 2 of ""A Song of Ice and Fire.""",0.0,A CLASH OF KINGS,George RR Martin,,combined-print-and-e-book-fiction,2011-07-01,4.0
14,9780679605096,Random House,"The friends from the Traveling Pants series, now in their late 20s, plan a reunion in Greece.",0.0,SISTERHOOD EVERLASTING,Ann Brashares,,combined-print-and-e-book-fiction,2011-07-01,1.0
15,9780316098328,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,0.0,ROOM,Emma Donoghue,,combined-print-and-e-book-fiction,2011-07-01,5.0
16,9780399157424,Penguin Group,"Searching for an oil baron’s missing father, the treasure hunters Sam and Remi Fargo become embroiled in an adventure involving black-market fossils and an ancient Tibetan kingdom.",0.0,THE KINGDOM,Clive Cussler with Grant Blackwood,,combined-print-and-e-book-fiction,2011-07-01,2.0
17,,Recorded Books,Three sailboat-racing sisters close ranks against a tenacious reporter who digs into a devastating secret from their past.,0.0,SUMMER SECRETS,Barbara Freethy,,combined-print-and-e-book-fiction,2011-07-01,1.0
18,9780307593672,Knopf Doubleday,"In the last volume of the Millennium trilogy, Mikael Blomkvist and Lisbeth Salander are threatened by an adversary from deep within the government.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-07-01,9.0
19,9781429904605,St. Martin's,"A diligent maid of honor to her charmed best friend, Rachel White has always played by the rules. But that changes on the night of her 30th birthday.",0.0,SOMETHING BORROWED,Emily Giffin,,combined-print-and-e-book-fiction,2011-07-01,3.0
20,9781402261084,Sourcebooks,A novelist writing about James Stuart's claim to the throne wonders if she is being inspired by ancestral memory.,0.0,THE WINTER SEA,Susanna Kearsley,,combined-print-and-e-book-fiction,2011-07-01,1.0
1,9781440697661,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-08-01,10.0
2,9780062072191,HarperCollins,"To stop a network of death, an international operative must reach into his violent past.",0.0,PORTRAIT OF A SPY,Daniel Silva,,combined-print-and-e-book-fiction,2011-08-01,2.0
3,9780553801477,Random House,"After a colossal battle, the Seven Kingdoms face new threats; Book 5 of “A Song of Ice and Fire.”",0.0,A DANCE WITH DRAGONS,George R R Martin,,combined-print-and-e-book-fiction,2011-08-01,26.0
4,9780316127233,"Little, Brown","Nina Bloom, who years ago changed her identity to save her life, is forced to confront the past and the killer she thought she had escaped.",0.0,NOW YOU SEE HER,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2011-08-01,2.0
5,9781101529201,Penguin Group,"A serial killer is on the loose, and it’s up to the F.B.I. agents Dillon Savich and Lacey Sherlock to bring him down.",0.0,SPLIT SECOND,Catherine Coulter,,combined-print-and-e-book-fiction,2011-08-01,1.0
6,9780440423317,Random House,"A woman, her daughter and a former football player arrive at their own crucial turning points on the same day.",0.0,HAPPY BIRTHDAY,Danielle Steel,,combined-print-and-e-book-fiction,2011-08-01,1.0
7,9780553897845,Random House,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2011-08-01,22.0
8,9780759525771,"Little, Brown",The Los Angeles homicide detective Hieronymus Bosch investigates the death of a fellow Vietnam veteran.,0.0,THE BLACK ECHO,Michael Connelly,,combined-print-and-e-book-fiction,2011-08-01,1.0
9,9780440245117,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",0.0,THE CONFESSION,John Grisham,,combined-print-and-e-book-fiction,2011-08-01,2.0
10,9781451617740,Simon & Schuster,"This timely tale delves into women’s lives, with themes of class and entitlement, surrogacy and donorship.",0.0,THEN CAME YOU,Jennifer Weiner,,combined-print-and-e-book-fiction,2011-08-01,1.0
11,9780345527691,Random House,"A killer is after the bounty hunter Stephanie Plum, who faces further complications as she tries to choose a boyfriend.",0.0,SMOKIN’ SEVENTEEN,Janet Evanovich,,combined-print-and-e-book-fiction,2011-08-01,1.0
12,9781565125605,Algonquin,"After his parents are killed in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-08-01,1.0
13,9780553897852,Random House,"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land; Book 2 of ""A Song of Ice and Fire.""",0.0,A CLASH OF KINGS,George RR Martin,,combined-print-and-e-book-fiction,2011-08-01,4.0
14,9780062049827,HarperCollins,"In the Amazon, a medical researcher seeks her former mentor, a despotic scientist developing a miracle fertility drug.",0.0,STATE OF WONDER,Ann Patchett,,combined-print-and-e-book-fiction,2011-08-01,1.0
15,9781429985215,St. Martin’s,A contemporary American journalist investigates what happened to a little girl and her family during the roundup of Jews in Paris in 1942.,0.0,SARAH’S KEY,Tatiana de Rosnay,,combined-print-and-e-book-fiction,2011-08-01,3.0
16,9780446583176,Grand Central,"After the death of his devoted wife, a father struggles to keep his family together, and in the process learns to love again. ",0.0,ONE SUMMER,David Baldacci,,combined-print-and-e-book-fiction,2011-08-01,1.0
17,9780316098328,"Little, Brown",The  world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held. The basis of the movie.,0.0,ROOM,Emma Donoghue,,combined-print-and-e-book-fiction,2011-08-01,5.0
18,A00B00547KH66,Michael Prescott,A serial killer who kidnaps women in order to hunt them down in the desert is thrown off balance upon finding that he himself is being mysteriously stalked.,0.0,STEALING FACES,Michael Prescott,,combined-print-and-e-book-fiction,2011-08-01,2.0
19,9780061753817,HarperCollins,An arrogant cad of a marquess falls for a woman who intervenes to protect her brother from his baleful influence.,0.0,LORD OF SCOUNDRELS,Loretta Chase,,combined-print-and-e-book-fiction,2011-08-01,1.0
20,9780446564441,Grand Central,Robert Ludlum's character Jason Bourne is searching for an elusive cadre of terrorists planning to destroy America's most strategic natural resources.,0.0,THE BOURNE DOMINION,Eric Van Lustbader,,combined-print-and-e-book-fiction,2011-08-01,2.0
1,9781440697661,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-09-01,10.0
2,9780345529725,Delacorte,Jack Reacher is stationed with his family on a military base in Okinawa in the mid-1970s.,0.0,SECOND SON,Lee Child,,combined-print-and-e-book-fiction,2011-09-01,1.0
3,9780307739308,Knopf Doubleday,"Checking in year by year on the confused, halting romance of two children of the ’80s.",0.0,ONE DAY,David Nicholls,,combined-print-and-e-book-fiction,2011-09-01,1.0
4,9781429985215,St. Martin’s,A contemporary American journalist investigates what happened to a little girl during the roundup of Jews in Paris in 1942.,0.0,SARAH’S KEY,Tatiana de Rosnay,,combined-print-and-e-book-fiction,2011-09-01,3.0
5,9780316127233,"Little, Brown","Nina Bloom, who years ago changed her identity to save her life, is forced to confront the past and the killer she thought she had escaped.",0.0,NOW YOU SEE HER,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2011-09-01,2.0
6,9780553801477,Random House,"After a colossal battle, the Seven Kingdoms face new threats; Book 5 of “A Song of Ice and Fire.”",0.0,A DANCE WITH DRAGONS,George R R Martin,,combined-print-and-e-book-fiction,2011-09-01,26.0
7,9780446547604,Grand Central,"A young woman, while putting down roots in a small North Carolina town, is haunted by a dark secret from her past.",0.0,SAFE HAVEN,Nicholas Sparks,,combined-print-and-e-book-fiction,2011-09-01,1.0
8,9780553897845,Random House,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",0.0,A GAME OF THRONES,George RR Martin,,combined-print-and-e-book-fiction,2011-09-01,22.0
9,9780440245117,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",0.0,THE CONFESSION,John Grisham,,combined-print-and-e-book-fiction,2011-09-01,2.0
